No,Area,Cabang,Kode,Nama Toko,Jenis Toko,Alamat,Hotel VASA (Ya/Tidak),Hotel IBIS Budget (Ya/Tidak),cadangan ke â€¦ (hanya untuk toko cadangan),Kadiv Mitra 10,Jumlah orang,Nama Undangan,Meja VIP,Keterangan
174,5,SIDOARJO,16D01070056,BUMI JAYA,TRO,SUKO KETAPANG 24A DS.SUKO RT.01 RW.01,Tidak,Tidak,,,2,EDY,,
175,5,SIDOARJO,16D01070059,BUMI JAYA 3,TRO,RONGGOJALU,Tidak,Tidak,,,2,DENNY,,
176,5,SIDOARJO,16D01080001,"AGUS TRI JAYA, UD ",TRO,DS. WONOSARI (SEBELAH MASJID KLANTINGSARI),Tidak,Tidak,,,2,MILA,,
177,5,SIDOARJO,16D01080007,JARIYAH,TRO,DS. LUMBANG,Tidak,Tidak,,,2,AINUN JARIYAH,,
178,5,SIDOARJO,16D01080011,MITRA ABADI,TRO,RAYA SIRABAN 7,Tidak,Tidak,,,2,ANIS,,
179,5,SIDOARJO,16D01080017,SINAR MAS,TRO,RAYA KATES 9,Tidak,Tidak,,,2,HUDI,,
180,5,SIDOARJO,16D01080021,SURYA MAS,TRO,RAYA PILANG KM.6,Tidak,Tidak,,,2,ROJUL,,
181,5,SIDOARJO,16D01090002,ADI JAYA,TRO,RAYA SUNANDAR PRIYOSUDARMO 79,Tidak,Tidak,,,2,YUNI,,
182,5,SIDOARJO,16D01090009,HAPPY,TRO,KH. DEWANTARA 170,Tidak,Tidak,,,2,HAPPY,,
183,5,SIDOARJO,16D01090025,SONY,TRO,RAYA KEMANGSREN,Tidak,Tidak,,,2,SONY,,
184,5,SIDOARJO,16D01090064,SUMBER HARAPAN,TRO,KATERUNGAN,Tidak,Tidak,,,2,SURONO,,
185,5,SIDOARJO,16D01090066,RIZKY ABADI,TRO,PERUM JASMINE RESIDENCE BLOK B 14-15,Tidak,Tidak,,,2,JAMADI,,
186,5,SIDOARJO,16D01090077,BUMI REJO,TRO,DUKUH SEMAMPIR DESA SIDOREJO,Tidak,Tidak,,,2,SLAMET HARYANTO,,
187,5,SIDOARJO,16D01090079,SINAR JAYA,TRO,PERUM GRAHA PERMATA DSN MADU BRONTO SIDOREJO,Tidak,Tidak,,,2,FATKHUL ANAM,,
188,5,SIDOARJO,16D01090087,JATI LUHUR (SULASTRI),TRO,RAYA KRIAN 564,Tidak,Tidak,,,2,IWAN,,
189,5,SIDOARJO,16D01100015,BERKAH 2,TRO,PLUMPUNG BAKUNG PRINGGODANI,Tidak,Tidak,,,2,TUMIRIN,,
190,5,SIDOARJO,16D01100016,SEMBILAN-SEMBILAN,TRO,DUSUN SUWALUH UTARA,Tidak,Tidak,,,2,FAUZI,,
191,5,SIDOARJO,16D01110002,PRAMBON JAYA,TRO,RAYA PRAMBON 60,Tidak,Tidak,,,2,DENNY,,
192,5,SIDOARJO,16D01110003,"SIMA SAKTI, UD ",TRO,DS. PRAMBON RT.06/RW.01,Tidak,Tidak,,,2,LILIK,,
193,5,SIDOARJO,16D01110006,"DAMAI JAYA, UD ",TRO,RAYA BULANG 4,Tidak,Tidak,,,2,LEDY,,
194,5,SIDOARJO,16D01110009,AN JAYA (ANUGRAH JAYA),TRO,RAYA KEDUNGKEMBAR,Tidak,Tidak,,,2,SABAR,,
195,5,SIDOARJO,16D01110036,"BUMI BERKAH, TB",TRO,R. SIMO GIRANG (SEBELAH PERUM MUTIARA CITRA APSRI),Tidak,Tidak,,,2,PUJI,,
196,5,SIDOARJO,16D01120012,"PUTRA JAYA, UD ",TRO,UMBUT LEGI,Tidak,Tidak,,,2,SUKERI,,
197,5,SIDOARJO,16D01120016,"DIMAS PUTRA JAYA, UD ",TRO,DUSUN TEMPURAN ( DEPAN KORAMIL ),Tidak,Tidak,,,2,DESSY,,
198,5,SIDOARJO,16D01130002,AR JAYA,TRO,SUGIH WARAS RT.16/RW.04,Tidak,Tidak,,,2,ARIFIN,,
199,5,SIDOARJO,16D01130013,JAYA MAKMUR,TRO,RAYA CANDI 40-44,Tidak,Tidak,,,2,HALIM,,
200,5,SIDOARJO,16D01130016,KARYA GEMINI,TRO,RAYA SUMOKALI 2,Tidak,Tidak,,,2,BADRUL,,
201,5,SIDOARJO,16D01130032,"SARI BUMI RAYA, UD ",TRO,PERUM BUMI MULYO PERMAI A2-1,Tidak,Tidak,,,2,MASHUDI,,
202,5,SIDOARJO,16D01130040,SURYA AGUNG,TRO,SUNANDAR PRIYO SUDARMO RT A-17,Tidak,Tidak,,,2,HARTONO,,
203,5,SIDOARJO,16D01130082,"H. MANSUR, UD ",TRO,PERUM MUTIARA CITRA GRAHA BLOK I-5/2,Tidak,Tidak,,,2,NURIL,,
204,5,SIDOARJO,16D01130099,INDAH BANGUNAN,TRO,RAYA PERMATA CANDILOKA BLOK X1 & X2 BALONGGABUS,Tidak,Tidak,,,2,TONI,,
205,5,SIDOARJO,16D01140022,JAYA MAS,TRO,DESA KEDUNGANTEN UTARA,Tidak,Tidak,,,2,RYAN,,
206,5,SIDOARJO,16D01150009,TUMONO,TRO,RAYA KENONGO 6 (SBLH PASAR),Tidak,Tidak,,,2,MUJIB,,
207,5,SIDOARJO,16D01150014,"SINAR JAYA, UD ",TRO,KARANGPLOSO RT. 5 RW.4,Tidak,Tidak,,,2,ROHMAN,,
208,5,SIDOARJO,16D01150027,RIZQI,TRO,DESA PANGKEMIRI 5,Tidak,Tidak,,,2,MUNIR,,
209,5,SIDOARJO,16D01150037,SARI BUMI BERKAH,TRO,DEWI SARTIKA (PINTU MASUK PERUM GRAHA INDAH),Tidak,Tidak,,,2,YUDI,,
210,5,SIDOARJO,16D01160007,MEGAH CITRA BUANA,TRO,PASAR KEJAPANAN (TIMUR),Tidak,Tidak,,,2,H. GUFRON,,
211,5,SIDOARJO,16D01160027,"TUNAS BARU, UD ",TRO,BHAYANGKARI - JUWET (GEDANG),Tidak,Tidak,,,2,MUKHOROBIN,,
212,5,SIDOARJO,16D01160029,"TUNAS BARU II, UD ",TRO,RAYA DUKUH SARI JABON RT. 4 RW. 1,Tidak,Tidak,,,2,KHOLIL,,
213,5,SIDOARJO,16D01160037,SEMANGAT JAYA,TRO,JUWET KENONGO BHAYANGKARI,Tidak,Tidak,,,2,H. MARIFAH,,
214,5,SIDOARJO,16D01170002,SEMANGAT JADI JAYA. UD ,TRO,"KEDUNG RAWAN, TANJEK WAGIR",Tidak,Tidak,,,2,H. SUKIMAN,,
215,5,SIDOARJO,16D01170003,SINAR AGUNG,TRO,RAYA KREMBUNG 31,Tidak,Tidak,,,2,SUDARMAJI,,
216,5,SIDOARJO,16D88040004,"PANCA SEMPURNA JAYA, PT ",PRO,RUKO BLUKID SQUARE BLOK C/6,Tidak,Tidak,,,2,FERA,,
217,5,SIDOARJO,16D88040005,CIPTA INTI ADIDAYA,PRO,WIRABUMI 15,Tidak,Tidak,,,2,DILA,,
218,5,SIDOARJO,16D88040007,BIAN NIAGA BATUAN,PRO,KESATRIAN KM 6 NO 22 BUDURAN,Tidak,Tidak,,,2,AILY,,
219,5,SIDOARJO,16D88040008,"BHUMI KENCANA SEJAHTERA, PT",PRO,LINGKAR TIMUR KM 5.5,Tidak,Tidak,,,2,YAYUK,,
220,5,SIDOARJO,16D88040009,"DEWE MAKMUR SEJAHTERA, PT",PRO,KOMP. PERKANTORAN RUKO BLUKID SQUARE NO. C-05,Tidak,Tidak,,,2,LELY,,
221,5,SIDOARJO,16D88040011,"CAHAYA BANGUN PERSADA, CV",PRO,DELTA SARI INDAH BA-08,Tidak,Tidak,,,2,ANI,,
222,5,SIDOARJO,16D88040018,"PABRIK GULA CANDI BARU, PT",PRO,RAYA CANDI 10,Tidak,Tidak,,,2,WIWIK,,
223,5,SIDOARJO,16D01170019,SANJAYA PUSAT (PT. SANJAYA INTI PERKASA),TRO,RY KANDANGAN 30,Tidak,Tidak,CADANGAN,,2,IIN,,
224,5,SIDOARJO,16D01150041,REJEKI AGUNG,TRO,RAYA MODONG (SELATAN PINTU MASUK GRAHA PESONA),Tidak,Tidak,CADANGAN,,2,UDIN,,
225,5,SIDOARJO,16D01040047,JAYA SUBUR,TRO,WIRA BUMI 75,Tidak,Tidak,CADANGAN,,2,SYAHRONI,,
226,5,SIDOARJO,16D01040047,"LANCAR JAYA, CV ",TRO,SUMBER WARU,Tidak,Tidak,CADANGAN,,2,SYAIFUL,,
227,5,SIDOARJO,16D01050060,"BANUWA AGUNG, UD ",TRO,BRIGJEND KATAMSO 31,Tidak,Tidak,CADANGAN,,2,RISYA,,
228,5,SIDOARJO,16D01050050,USAHA BARU,TRO,RAYA TROPODO 10,Tidak,Tidak,CADANGAN,,2,YULIANA,,
229,5,SIDOARJO,16D01050038,"SINAR JAYA, UD ",TRO,JATI SARI BESAR 73,Tidak,Tidak,CADANGAN,,2,MAMIK,,
230,5,SIDOARJO,16D01150002,BERKAH,TRO,RAYA JANTI 1 RT.04/RW.04,Tidak,Tidak,CADANGAN,,2,MACHFUD,,
231,5,SIDOARJO,16D01150030,SARI BUMI BENDO,TRO,BENDO GROGOL RT 3/RW 4,Tidak,Tidak,CADANGAN,,2,SYAHRUL,,
232,5,SIDOARJO,16D01080003,BAROKAH JAYA,TRO,RAYA TANGGUL 2,Tidak,Tidak,CADANGAN,,2,IRFAN,,
233,5,SURABAYA BARAT,16K01010005,ASRI RAYA,TRO,TAMBAK ASRI 174,Tidak,Tidak,,,2,SUGIANTO,,
234,5,SURABAYA BARAT,16K01010010,"BOBY JAYA, UD ",TRO,GENTING TAMBAK DALAM 17,Tidak,Tidak,,,2,ZAINURI,,
235,5,SURABAYA BARAT,16K01010018,KARYA BARU,TRO,ASEM MULYO 18,Tidak,Tidak,,,2,H. SUPRIONO,,
236,5,SURABAYA BARAT,16K01020001,AL INAYAH 2,TRO,KLAKAH REJO 9,Tidak,Tidak,,,2,IDA,,
237,5,SURABAYA BARAT,16K01020003,AL-INAYAH,TRO,SEMEMI JAYA 06,Tidak,Tidak,,,2,ZAINUS,,
238,5,SURABAYA BARAT,16K01020031,SINAR INDAH,TRO,SEMEMI  49,Tidak,Tidak,,,2,LILY,,
239,5,SURABAYA BARAT,16K01030002,ADJI JAYA I,TRO,LAKARSANTRI 136,Tidak,Tidak,,,2,M. AMIR,,
240,5,SURABAYA BARAT,16K01030009,"ARTA LUMINTU, CV ",TRO,WISMA LIDAH KULON XK-02 BANGKINGAN,Tidak,Tidak,,,2,STEV,,
241,5,SURABAYA BARAT,16K01030014,CAHAYA MAKMUR,TRO,RAYA MENGANTI 750,Tidak,Tidak,,,2,WANTI,,
242,5,SURABAYA BARAT,16K01030024,HANA UTAMA,TRO,"WISMA LIDAH KULON BLOK A-6, SEPAT",Tidak,Tidak,,,2,ABDULAH,,
243,5,SURABAYA BARAT,16K01040001,ANIS JAYA,TRO,PAKAL MADYA TIMUR 1,Tidak,Tidak,,,2,H. MARSITO,,
244,5,SURABAYA BARAT,16K01040006,EVAN JAYA MAKMUR,TRO,NGASINAN/ BTC A-23,Tidak,Tidak,,,2,MAWAR,,
245,5,SURABAYA BARAT,16K01040007,GANESHA,TRO,DUKUH JERAWAT III/1,Tidak,Tidak,,,2,H. SUTO,,
246,5,SURABAYA BARAT,16K01040011,JAYA SENTOSA,TRO,NGASINAN  9,Tidak,Tidak,,,2,YENI,,
247,5,SURABAYA BARAT,16K01050030,SURYA JAYA,TRO,LONTAR 222,Tidak,Tidak,,,2,HIMAWAN,,
248,5,SURABAYA BARAT,16K01050032,SURYA KENCANA 2,TRO,RAYA LONTAR 114,Tidak,Tidak,,,2,SANTOSO,,
249,5,SURABAYA BARAT,16K01050039,TOKO BANGUNAN,TRO,TAMAN GAPURA BLOK I/15,Tidak,Tidak,,,2,LOVELY,,
250,5,SURABAYA BARAT,16K01050040,SEMERU,TRO,RAYA LONTAR 15,Tidak,Tidak,,,2,WILLY,,
251,5,SURABAYA BARAT,16K01060006,BANGUN REJEKI,TRO,DARMO SATELIT INDAH 18 C,Tidak,Tidak,,,2,YUWONO,,
252,5,SURABAYA BARAT,16K01060010,BIMA SUCI,TRO,RY DARMO PERMAI I / 92,Tidak,Tidak,,,2,PURWANINGSIH,,
253,5,SURABAYA BARAT,16K01060017,CAKRAWALA,TRO,RAYA DARMO PERMAI 19J,Tidak,Tidak,,,2,JHONY,,
254,5,SURABAYA BARAT,16K01060042,MAKMUR MOTOR (MB),TRO,RAYA DARMO HARAPAN EX 6,Tidak,Tidak,,,2,WIDYA,,
255,5,SURABAYA BARAT,16K01060061,SEJAHTERA,TRO,SIMO TAMBAAN 39,Tidak,Tidak,,,2,RATNA,,
256,5,SURABAYA BARAT,16K01060067,SINAR JAYA MAKMUR,TRO,RY DARMO INDAH 12,Tidak,Tidak,,,2,MELIANA,,
257,5,SURABAYA BARAT,16K01060083,VARIA,TRO,SUKO MANUNGGAL 210,Tidak,Tidak,,,2,CHRIS,,
258,5,SURABAYA BARAT,16K01060087,"ANUGERAH, CV ",TRO,RAYA TANJUNGSARI 46A RT. 002 RW. 002 TANJUNG SARI,Tidak,Tidak,,,2,HENDRA,,
259,5,SURABAYA BARAT,16K01070005,ANUGRAH,TRO,BALONGSARI TAMA G-4,Tidak,Tidak,,,2,JOLANNA SUTANTO,,
260,5,SURABAYA BARAT,16K01070022,DUA PUTRA,TRO,TENGGER RAYA I D ( DEPAN MAKAM ),Tidak,Tidak,,,2,EMI,,
261,5,SURABAYA BARAT,16K01070030,"HADI JAYA, UD ",TRO,KH. AMIR 28 MANUKAN,Tidak,Tidak,,,2,YUDI,,
262,5,SURABAYA BARAT,16K01070035,INTIVARIA,TRO,MANUKAN WETAN 32,Tidak,Tidak,,,2,ANANG,,
263,5,SURABAYA BARAT,16K01070040,JIMBARAN,TRO,RAYA HJ AMIR 32,Tidak,Tidak,,,2,SYENNY,,
264,5,SURABAYA BARAT,16K01070049,MAKMUR SEJATI,MTO,TRIKORA 100 MANOKWARI,Ya,Tidak,,,1,FABIAN,,
265,5,SURABAYA BARAT,16K01070050,"MAKMUR UTAMA KENCANA, PT ",MTO,YASIM GAMSUNGI - TERNATE,Ya,Tidak,,,4,"LOUISA & HENDRA ANG, ALAN & ISABELA",,
266,5,SURABAYA BARAT,16K01070055,"MEKAR, UD ",TRO,LONTAR 19 MANUKAN,Tidak,Tidak,,,2,DEWI,,
267,5,SURABAYA BARAT,16K01070094,SUMBER REJEKI,TRO,RAYA TANDES LOR 17A,Tidak,Tidak,,,2,MICHAEL,,
268,5,SURABAYA BARAT,16K01070098,TENG JOYO,TRO,MANUKAN KULON 56A,Tidak,Tidak,,,2,CIE MERLYN,,
269,5,SURABAYA BARAT,16K01070100,TITAN,TRO,BALONGSARI TAMA E.1,Tidak,Tidak,,,2,BUDI,,
270,5,SURABAYA BARAT,16K01070104,"VICTORY, UD ",TRO,RAYA TANDES LOR 17A,Tidak,Tidak,,,2,SUDIN,,
271,5,SURABAYA BARAT,16K02010001,AKBAR JAYA,TRO,DS SUMBER GONDANG BRT GAPURO MOJOPURO,Tidak,Tidak,,,2,IKHUL,,
272,5,SURABAYA BARAT,16K02010017,SUMBER LANCAR,TRO,RY BALONG PANGGANG 9,Tidak,Tidak,,,2,YUNIS,,
273,5,SURABAYA BARAT,16K02010018,SUMBER REJO,TRO,KEDUNG PRING12-14,Tidak,Tidak,,,2,AMIN,,
274,5,SURABAYA BARAT,16K02010022,JATI INDAH PUTRA I,TRO,RAYA WATES 45,Tidak,Tidak,,,2,PUTRI,,
275,5,SURABAYA BARAT,16K02010024,SINAR JAYA,TRO,RAYA PACUH NO 1,Tidak,Tidak,,,2,MUJI,,
276,5,SURABAYA BARAT,16K02020004,"HASIL BERSAMA, UD ",TRO,RAYA BULUREJO 54,Tidak,Tidak,,,2,H. BASORI,,
277,5,SURABAYA BARAT,16K02020014,UNTUNG BERSAMA 2,TRO,RAYA KEDUNG RUKEM,Tidak,Tidak,,,2,ARIN,,
278,5,SURABAYA BARAT,16K02030002,ANUGRAH,TRO,RAYA MASANGAN TIMUR,Tidak,Tidak,,,2,ARIFIN,,
279,5,SURABAYA BARAT,16K02030006,EVI INDAH,TRO,BUDI SANTOSO 88,Tidak,Tidak,,,2,KIKI,,
280,5,SURABAYA BARAT,16K02030013,RIMBA PERKASA,TRO,RAYA BUNGAH SIDAYU,Tidak,Tidak,,,2,HJ. NASUHA,,
281,5,SURABAYA BARAT,16K02030023,ANUGRAH DUA,TRO,RAYA BUNGAH GRESIK (100M UTARA JEMBATAN SEMBAYAT),Tidak,Tidak,,,2,SUZUD,,
282,5,SURABAYA BARAT,16K02040029,TUMBUH SUBUR,TRO,MOROWUDI 99 CERME,Tidak,Tidak,,,2,ANA,,
283,5,SURABAYA BARAT,16K02040034,SUMBER BANGUNAN,TRO,PERUM BANJARSARI ASRI GG XIV / 11-13,Tidak,Tidak,,,2,HERMIN,,
284,5,SURABAYA BARAT,16K02050015,"CANGKIR, UD ",TRO,RAYA CANGKIR KM 22 DRIYOREJO,Tidak,Tidak,,,2,SHINTIA,,
285,5,SURABAYA BARAT,16K02050041,MORODADI,TRO,RAYA LEGUNDI 611,Tidak,Tidak,,,2,SUYONO,,
286,5,SURABAYA BARAT,16K02050046,RODA MAS,TRO,INTAN KAVLING V / 27-28,Tidak,Tidak,,,2,ANIK,,
287,5,SURABAYA BARAT,16K02050058,SINAR BUKIT,TRO,BUKIT BAMBE AE 9,Tidak,Tidak,,,2,ERNI,,
288,5,SURABAYA BARAT,16K02050059,SINAR JAYA,TRO,UTARA SDN TANJUNGAN,Tidak,Tidak,,,2,HAMIDA,,
289,5,SURABAYA BARAT,16K02050072,SUMBER URIP,TRO,RAYA KARANGANDONG 177,Tidak,Tidak,,,2,ARIF,,
290,5,SURABAYA BARAT,16K02050079,"MAJU MAPAN, UD ",TRO,DESA KARANGANDONG,Tidak,Tidak,,,2,IRWAN,,
291,5,SURABAYA BARAT,16K02060002,INDAH JAYA BANGUN,TRO,RAYA GUNDUKAN KM.36,Tidak,Tidak,,,2,TITIN,,
292,5,SURABAYA BARAT,16K02060006,"SAMIR ISTANA BANGUNAN, UD ",TRO,RAYA DS SAMIR,Tidak,Tidak,,,2,IIS,,
293,5,SURABAYA BARAT,16K02060008,SEDIA,TRO,PASAR 331,Tidak,Tidak,,,2,MASBUIN,,
294,5,SURABAYA BARAT,16K02070006,"SUMBER JAYA, CV ",TRO,BENGAWAN SOLO,Tidak,Tidak,,,2,NAJIB,,
295,5,SURABAYA BARAT,16K02080021,GANGSAR 2 (KERAMIK),TRO,KAPTEN DARMO SUGONDO 4,Tidak,Tidak,,,2,SUKADI,,
296,5,SURABAYA BARAT,16K02080036,LANGGENG SANTOSO,TRO,USMAN SADAR 87 A,Tidak,Tidak,,,2,ANTON,,
297,5,SURABAYA BARAT,16K02080037,LOH JINAWI (KEBO MAS),TRO,USMAN SADAR 15,Tidak,Tidak,,,2,SUCI,,
298,5,SURABAYA BARAT,16K02080056,SUMBER AGUNG,TRO,DR. SUTOMO 74,Tidak,Tidak,,,2,ANTON,,
299,5,SURABAYA BARAT,16K02080062,VARIA INDAH,TRO,USMAN SADAR 18B,Tidak,Tidak,,,2,CHANDRA,,
300,5,SURABAYA BARAT,16K02080069,BAROKAH,TRO,SINDUJOYO GANG XVII,Tidak,Tidak,,,2,TIRTA WIJAYA,,
301,5,SURABAYA BARAT,16K02090004,"BANGUN GRIYA, UD ",TRO,KH SAFII 17 BUNDER,Tidak,Tidak,,,2,HERI,,
302,5,SURABAYA BARAT,16K02090019,JASA PERDANA,TRO,TAMBANG 1,Tidak,Tidak,,,2,KEMAL,,
303,5,SURABAYA BARAT,16K02090023,KOP. KKB (K3PG) PETROKIMIA,TRO,JEND A.YANI,Tidak,Tidak,,,2,ARIFIN,,
304,5,SURABAYA BARAT,16K02090031,PUTRA,TRO,GRESIK,Tidak,Tidak,,,2,YOUNG,,
305,5,SURABAYA BARAT,16K02090052,SUMBER WANGI V,TRO,DR WAHIDIN SUDIRO HUSODO 225,Tidak,Tidak,,,2,ILUL,,
306,5,SURABAYA BARAT,16K02100002,"ARYS JAYA, UD ",TRO,RY LANGSIR DS.SELEMPIT (DPN BALAI DS KEDAMAIAN),Tidak,Tidak,,,2,JULIATI,,
307,5,SURABAYA BARAT,16K02100017,SUMBER REJEKI,TRO,RAYA KEDAMEAN 66,Tidak,Tidak,,,2,AINUR,,
308,5,SURABAYA BARAT,16K02100021,VIVI JAYA,TRO,RY SIDOHARJO TRASENG (DPN MASJID),Tidak,Tidak,,,2,TRISNANDAR,,
309,5,SURABAYA BARAT,16K02110004,ARAH SUKSES,TRO,"KH SYAFII, DEPAN POM SUCI",Tidak,Tidak,,,2,ARIF,,
310,5,SURABAYA BARAT,16K02110006,AVIA,TRO,BANJAR BARU 04,Tidak,Tidak,,,2,BIAT,,
311,5,SURABAYA BARAT,16K02110007,AVIA PEGANDEN,TRO,RAYA PEGANDEN,Tidak,Tidak,,,2,ESTER,,
312,5,SURABAYA BARAT,16K02110012,CHANDRA,TRO,MANYAR,Tidak,Tidak,,,2,FERRY,,
313,5,SURABAYA BARAT,16K02110025,JAYA SAKTI,TRO,MANYAR,Tidak,Tidak,,,2,ERWIN,,
314,5,SURABAYA BARAT,16K02110033,MULIA,TRO,RAYA PERMATA SUCI GG PPS - 69,Tidak,Tidak,,,2,NASRUN,,
315,5,SURABAYA BARAT,16K02110043,SUMBER JOYO,TRO,KH. SYAFII  69,Tidak,Tidak,,,2,MUHAIMIN,,
316,5,SURABAYA BARAT,16K02110048,SUMBER WANGI PERMATA,TRO,PAYA PERMATA 110-PPS,Tidak,Tidak,,,2,TAKAP,,
317,5,SURABAYA BARAT,16K02110049,SUMBER WANGI RAYA,TRO,KANJENG BROTONEGORO,Tidak,Tidak,,,2,IRVAN,,
318,5,SURABAYA BARAT,16K02110052,TANPA NAMA,TRO,PASAR SEMBAYAT 66,Tidak,Tidak,,,2,ZEIN,,
319,5,SURABAYA BARAT,16K02110058,WARGA BUMI JAYA,TRO,RAYA BRAK 1/9  (DPN. SPBU WADENG),Tidak,Tidak,,,2,ANAM,,
320,5,SURABAYA BARAT,16K02110068,"CENTRAL ASIA BUILDING, PT ",TRO,RAYA GELADAK 08 A,Tidak,Tidak,,,2,LULU,,
321,5,SURABAYA BARAT,16K02110070,EVI INDAH ELEKTRIK,TRO,BUDI SANTOSO,Tidak,Tidak,,,2,DIDIN,,
322,5,SURABAYA BARAT,16K02110071,FITRI JAYA,TRO,GUBERNUR SURYO 8A,Tidak,Tidak,,,2,JOHAN,,
323,5,SURABAYA BARAT,16K02120015,BUMI SUBUR JAYA,TRO,DS SIDOLEMU,Tidak,Tidak,,,2,EDI,,
324,5,SURABAYA BARAT,16K02120020,EDI JAYA,TRO,PERANTI,Tidak,Tidak,,,2,EDI,,
325,5,SURABAYA BARAT,16K02120025,HARAPAN JAYA,TRO,RAYA DOMAS 1,Tidak,Tidak,,,2,MUKANI,,
326,5,SURABAYA BARAT,16K02120029,"IRMA, UD / H SYAFIQ",TRO,RAYA GADING WATU-DOMAS,Tidak,Tidak,,,2,H. SYAFIQ,,
327,5,SURABAYA BARAT,16K02120031,JAYA ABADI,TRO,RAYA MENGANTI 25 DEKAT PASAR,Tidak,Tidak,,,2,ROISUL,,
328,5,SURABAYA BARAT,16K01050016,MEGA HARDWARE,TRO,KUWUKAN 62,Tidak,Tidak,,,2,VIVIN,,
329,5,SURABAYA BARAT,16K02120098,DIKY BAROKAH,TRO,NGABLAK REJO,Tidak,Tidak,,,2,H. NUR CHOLIS,,
330,5,SURABAYA BARAT,16K02130004,"BINTANG UTAMA DRAJAT, UD ",TRO,RAYA SELATAN MAKAM SUNAN DRAJAT PACIRAN,Tidak,Tidak,,,2,MAHFUD,,
331,5,SURABAYA BARAT,16K02130012,SAHABAT,TRO,CAMPUREJO,Tidak,Tidak,,,2,ABDUL WAHID,,
332,5,SURABAYA BARAT,16K02140002,BINTANG UTAMA,TRO,RAYA GOLOKAN (PERTIGAAN DUKUN),Tidak,Tidak,,,2,WILDAN,,
333,5,SURABAYA BARAT,16K02140011,SARI BUMI GOLOKAN (PT. SARI BUMI SIDAYU),TRO,RAYA GOLOKAN (DEPAN POM BENSIN GOLOKAN),Tidak,Tidak,,,2,FARIZ,,
334,5,SURABAYA BARAT,16K02140012,SETIA,TRO,SITARDA 11 PANGKAH WETAN UJUNG,Tidak,Tidak,,,2,ZAINI,,
335,5,SURABAYA BARAT,16K02150004,LAHAN MANUNGGAL,TRO,SEKAPUK UTARA SAMPING PUSKESMAS,Tidak,Tidak,,,2,H. LULU,,
336,5,SURABAYA BARAT,16K02160014,"YADI JAYA, UD ",TRO,DS. PADENGANGAN,Tidak,Tidak,,,2,HERMAN,,
337,5,SURABAYA TIMUR,16C01010004,ASIA AFRIKA,TRO,BASUKI RAHMAT 161,Tidak,Tidak,,,2,RATNA,,
338,5,SURABAYA TIMUR,16C01030072,TIRTO MULYO,TRO,GENTENG BESAR 81,Tidak,Tidak,,,2,SONNY MULYO,,
339,5,SURABAYA TIMUR,16C01030120,CV. JAYA MORISINDO,TRO,UNDAAN 48 D,Tidak,Tidak,,,2,ALEX VICTOR ALAM,,
340,5,SURABAYA TIMUR,16C01030129,"PUTRA WISMA HARAPAN, CV",TRO,BALIWERTI NO 35,Tidak,Tidak,,,2,SUNDORO TJANDRA,,
341,5,SURABAYA TIMUR,16C01050015,JANGKAR MAS,TRO,DUKUH 91,Tidak,Tidak,,,2,ADI WIYONO/ AMING,,
342,5,SURABAYA TIMUR,16C01050035,SINGA MAS,TRO,DUKUH 89,Tidak,Tidak,,,2,FANNY WIJAYA ( FANG ),,
343,5,SURABAYA TIMUR,16C01050057,IMANUEL,TRO,DUKUH,Tidak,Tidak,,,2,LUKITO,,
344,5,SURABAYA TIMUR,16C01050058,GAJAH MADA,TRO,KEBALEN TIMUR 90,Tidak,Tidak,,,2,SIEN/ BAMBANG SUGIPURWANTO,,
345,5,SURABAYA TIMUR,16C01050064,SUMBER MAKMUR,TRO,SIDODADI IX / 39,Tidak,Tidak,,,2,YUWONO,,
346,5,SURABAYA TIMUR,16C01050073,"SEJAHTERA, CV ",TRO,KOPI 1,Tidak,Tidak,,,2,JEANY,,
347,5,SURABAYA TIMUR,16C01070011,CAHAYA AGUNG,TRO,KEBALEN TIMUR 94 B,Tidak,Tidak,,,2,FANNY,,
